user_id,event_time,alpha_2,alpha_3,flag,name,numeric,official_name,os,brand,model,model_number,specification,event_type,location,user_action_detail,session_number,localization_id,ga_session_id,value,state,engagement_time_msec,current_progress,event_origin,place,selection,analytics_storage,browser,install_store,user_params
eeUFLErp1oDHIbsk,2023-12-07 00:19:53.949,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Content Viewed,Notifications,Toggled Dark Mode,,es,,59.0,9.0,57731.0,,auto,3.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:20:57.359,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Click,Home Screen,Shared Content,,en,,63.0,7.0,24216.0,,auto,34.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:22:41.069,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Click,Settings,,,es,,36.0,6.0,50299.0,,auto,8.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:23:03.822,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Click,Profile,Viewed Article,,es,,64.0,3.0,7110.0,,auto,34.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:26:34.905,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Click,,,,en,,55.0,9.0,15349.0,,auto,-1.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:27:47.088,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Scroll,,Viewed User Profile,,en,,23.0,0.0,60887.0,,auto,8.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:28:12.276,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Content Shared,Profile,,-1,es,,82.0,9.0,76537.0,,auto,34.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:30:10.391,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Search Initiated,Feed,,,en,,50.0,2.0,61988.0,,auto,-1.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:35:18.449,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Content Viewed,Profile,Toggled Dark Mode,-1,en,,95.0,8.0,23488.0,,auto,34.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
eeUFLErp1oDHIbsk,2023-12-07 00:37:30.354,AT,AUT,ud83cudde6ud83cuddf9,Austria,40,Republic of Austria,iOS,Apple,iPhone,11,X,Long Press,Profile,,,es,,44.0,6.0,2140.0,,auto,8.0,,Yes,,Null,"{'os': 'iOS', 'brand': 'Apple', 'model': 'iPhone', 'model_number': 11, 'specification': 'X', 'transaction_id': None, 'campaign_name': None, 'source': None, 'medium': None, 'term': None, 'context': None, 'gclid': None, 'dclid': None, 'srsltid': None, 'is_active_user': None, 'marketing_id': 'aZpnhf74I7Ne'}"
